"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"X1","ABRA-ABM3B-4_V","108.1mm","127.5mm","108.1mm","127.5mm","106.9mm","129.5mm","T","270.00","Abracon ABM3B-24.000MHZ-B2-T"
"USB","PCB-ed55rmwyicl0n6piu1yt-1","115mm","104.425mm","115mm","103mm","112.75mm","107.99mm","T","0.00","Würth Elektronik 632723100011"
"U3","TSSOP-ST20_L","115mm","128mm","115mm","128mm","112.2mm","130.925mm","T","0.00","COM-CAN-MCP2515-20"
"U2","D8_M","115mm","134.5mm","115mm","134.5mm","112.55mm","136.405mm","T","0.00","SN65HVD1050QDRQ1"
"U1","SOIC-SO20_N","115mm","117mm","115mm","117mm","110.45mm","122.715mm","T","0.00","PIC18F14K50T-I/SO"
"SW1","450302014072","127mm","123mm","127mm","123mm","127mm","123mm","T","270.00","450302014072"
"R17","RESC1608X55X30NL20T20","120.3mm","136.2mm","120.3mm","136.2mm","120.3mm","136.85mm","T","270.00","10k"
"R4","RESC1608X06M","120.3mm","133.2mm","120.3mm","133.2mm","120.3mm","133.9mm","T","270.00","120R"
"R3","PCBComponent_1","120.3mm","126.9mm","120.3mm","126.9mm","120.3mm","127.575mm","T","270.00","1k"
"R2","RESC1608X55X30LL15T15","122.6mm","112.6mm","122.6mm","112.6mm","123.225mm","112.6mm","T","180.00","200R"
"R1","PCBComponent_1","104.4mm","111.6mm","104.4mm","111.6mm","104.4mm","112.275mm","T","270.00","1k"
"LED1","0603D_B","122.6mm","110.9mm","122.6mm","110.9mm","123.362mm","110.9mm","T","180.00","Vishay TLMO1000-GS08"
"J2","PCB-06li7dsinirebf53x9du-1","114.9864mm","140.8224mm","115mm","147mm","109.5mm","139.4mm","T","180.00","Value"
"J1","PCB-t2j72m1yraok0w090vy8-1","106.9mm","110.97mm","106.9mm","109.7mm","106.9mm","109.7mm","T","180.00","Würth Elektronik 61300211021"
"C7","CAPC1508X91X25ML25T13","106.9mm","123.4mm","106.9mm","123.4mm","107.62mm","123.4mm","T","180.00","22pF"
"C6","CAPC1508X91X25ML25T13","108.4mm","131.6mm","108.4mm","131.6mm","109.12mm","131.6mm","T","180.00","22pF"
"C5","PCB-123646-1","120.3mm","130.1mm","120.3mm","130.1mm","120.3mm","129.3mm","T","90.00","100nF"
"C4","PCB-123646-1","108.5mm","133.9mm","108.5mm","133.9mm","107.7mm","133.9mm","T","0.00","100nF"
"C3","PCB-123646-1","122.8mm","118.9mm","122.8mm","118.9mm","123.6mm","118.9mm","T","180.00","100nF"
"C2","PCB-123646-1","106.9mm","119.7mm","106.9mm","119.7mm","106.1mm","119.7mm","T","0.00","100nF"
"C1","PCB-0wz5cygkzjk26dn1bz6x-1","106.9mm","121.5mm","106.9mm","121.5mm","106.15mm","121.5mm","T","0.00","4.7uF"

